chain_id,store_id,name,address,city,status
7290000000003,027," סיטי מרקט אגמים בע""מ , עמק האלה 47 אשקלון",עמק האלה 47,אשקלון,OK
7290000000003,067,"כ.פ.ד בינ""ו אחזקות בע""מ, הרצל 39 פתח תקווה",הרצל 39,פתח תקווה,OK
7290000000003,010,"מתוק בעצמאות (סיטי מרקט)(זכיינות), העצמאות 35 אור יהודה",העצמאות 35,אור יהודה,OK
7290000000003,041,"מתוק בשוק הכרמל בע""מ חנות אינטרנטית, לפין 1 תל אביב",לפין 1,תל אביב,OK
7290000000003,031,"מתוק בשוק הכרמל בע""מ, דניאל 25 תל אביב",דניאל 25,תל אביב,OK
7290000000003,040,"מתוק בשוק הכרמל בע""מ, קלישר 3 תל אביב",קלישר 3,תל אביב,OK
7290000000003,039,"מתוק שוק הוד השרון, סוקולוב 40 הוד השרון",סוקולוב 40,הוד השרון,OK
7290000000003,042,"מתוק שוק צ'יינה טאון, רח' הכרמל 26 ת""א",רח' הכרמל 26,תל אביב,OK
7290000000003,062,"מתוק שוק ראשון לציון בע""מ, הרצל 70 ראשל""צ",הרצל 70 ראשל צ,ראשון לציון,OK
7290000000003,068,"סיטי מרקט  רפאל שלמה חי שיווק בע""מ, לוי אשכול 100 מודיעין",לוי אשכול 100,מודיעין,OK
7290000000003,015,"סיטי מרקט ""השדרה"" חולון, סיטי מרקט ""השדרה"" חולון בע""מ",,חולון,ADDRESS MISSING
7290000000003,000,סיטי מרקט - חנויות כללי,,,NOT SURE
7290000000003,071,"סיטי מרקט kendy market, נאות שמיר רמלה",,רמלה,ADDRESS MISSING
7290000000003,038,"סיטי מרקט ארגמן חולון, אילת 36 חולון",אילת 36,חולון,OK
7290000000003,030,"סיטי מרקט אשדוד, י""ג 2 אשדוד",י ג 2,אשדוד,OK
7290000000003,058,"סיטי מרקט באודם על הפארק 1 ב""ש, נחל פרת 25",נחל פרת 25,באר שבע,OK
7290000000003,059,"סיטי מרקט באודם על הפארק 2 ב""ש, נחל חבר 15",נחל חבר 15,באר שבע,OK
7290000000003,035,"סיטי מרקט בכיכר חולון, חנקין 95 חולון",חנקין 95,חולון,OK
7290000000003,061,"סיטי מרקט בלפור בת ים, בלפור 110 בת ים",בלפור 110,בת ים,OK
7290000000003,005,"סיטי מרקט ברכאל חולון בע""מ,  יוסף אהרונוביץ' 92 חולון",יוסף אהרונוביץ' 92,חולון,OK
7290000000003,049,"סיטי מרקט גבעתיים בע""מ, כ""ג 2 גבעתיים",כ ג 2,גבעתיים,OK
7290000000003,037,"סיטי מרקט דב הוז, דב הוז 45 חולון",דב הוז 45,חולון,OK
7290000000003,036,"סיטי מרקט דב הוז, דב הוז 56 חולון",דב הוז 56,חולון,OK
7290000000003,022,"סיטי מרקט דרך האילנות גדרה בע""מ, צהלה 44 גדרה",צהלה 44,גדרה,OK
7290000000003,021,"סיטי מרקט דרך האילנות גדרה בע""מ, ציונה צרפת 40 גדרה",ציונה צרפת 40,גדרה,OK
7290000000003,016,"סיטי מרקט האצ""ל פינת ההגנה, סיטי מרקט אצ""ל בע""מ",,,NOT SURE
7290000000003,026,"סיטי מרקט הוד השרון בע""מ, סוקולוב 15 הוד השרון",סוקולוב 15,הוד השרון,OK
7290000000003,025,"סיטי מרקט הוד השרון בע""מ, סוקולוב 37 הוד השרון",סוקולוב 37,הוד השרון,OK
7290000000003,055,"סיטי מרקט היבנר, היבנר 25 פתח תקווה",היבנר 25,פתח תקווה,OK
7290000000003,054,"סיטי מרקט הנשיאים, הנשיאים 45 פתח תקווה",הנשיאים 45,פתח תקווה,OK
7290000000003,012,"סיטי מרקט הפשפשים , עולי ציון 22 ת""א",עולי ציון 22,תל אביב,OK
7290000000003,060,"סיטי מרקט הרצוג גבעתיים, הרצוג 23 גבעתיים",הרצוג 23,גבעתיים,OK
7290000000003,066,"סיטי מרקט וייצמן כפר סבא, וייצמן 55",וייצמן 55,כפר סבא,OK
7290000000003,034,"סיטי מרקט ולנטינו חולון, אהרונוביץ 2 חולון",אהרונוביץ 2,חולון,OK
7290000000003,002,"סיטי מרקט חולון, ויצמן 45 חולון",ויצמן 45,חולון,OK
7290000000003,001,"סיטי מרקט חולון, שנקר 25 חולון",שנקר 25,חולון,OK
7290000000003,013,"סיטי מרקט חנקין, חנקין 95 חולון",חנקין 95,חולון,OK
7290000000003,008,"סיטי מרקט טאוור בע""מ, משה דיין 2 תל אביב",משה דיין 2,תל אביב,OK
7290000000003,009,"סיטי מרקט טווינס לח""י בע""מ, לח""י 36 תל אביב",לח י 36,תל אביב,OK
